Tempeture,Humidity,ppm,Status
28,17,45,Green
28,17,46,Green
28,17,46,Green
28,17,46,Green
28,17,47,Green
28,17,47,Green
28,17,46,Green
28,17,45,Green
30,17,48,Green
32,17,48,Green
40,17,47,Green
48,17,49,Green
56,17,51,Green
64,17,58,Green
66,17,62,Yellow
65,17,64,Yellow
62,17,68,Yellow
63,17,71,Yellow
64,17,74,Yellow
65,17,73,Yellow
66,17,75,Yellow
68,17,78,Yellow
70,17,77,Yellow
73,17,80,Red
75,17,83,Red
78,17,84,Red
80,17,85,Red
79,17,86,Red
78,17,90,Red
80,17,94,Red
79,17,98,Red
80,17,101,Red
80,17,102,Red
79,17,102,Red
78,17,101,Red
78,17,100,Red
79,17,97,Red
79,17,98,Red
79,17,100,Red
78,17,101,Red
79,17,102,Red
78,17,103,Red
79,17,101,Red
79,17,100,Red
80,17,102,Red
79,17,98,Red
76,17,98,Red
76,17,99,Red
75,17,96,Red
75,17,92,Red
80,17,102,Red
79,17,98,Red
76,17,98,Red
76,17,99,Red
75,17,96,Red
75,17,92,Red
75,17,89,Red
74,17,84,Red
72,17,84,Red
70,17,84,Red
69,17,82,Red
69,17,81,Red
68,17,81,Red
68,17,80,Red
68,17,80,Red
68,17,80,Red
68,17,81,Red
68,17,80,Red
66,17,76,Yellow
66,17,76,Yellow
65,17,76,Yellow
67,17,75,Yellow
67,17,75,Yellow
67,17,76,Yellow
65,17,76,Yellow
65,17,75,Yellow
64,17,75,Yellow
64,17,71,Yellow
60,17,68,Yellow
58,17,65,Yellow
58,17,64,Yellow
58,17,61,Yellow
58,17,59,Green
57,17,59,Green
57,17,59,Green
58,17,58,Green
58,17,57,Green
60,17,59,Green
61,17,59,Green
64,17,59,Green
66,17,58,Green
68,17,57,Green
72,17,59,Green
75,17,59,Green
81,17,59,Red
82,17,58,Red
82,17,57,Red
81,17,59,Red
81,17,59,Red
81,17,59,Red
82,17,58,Red
82,17,57,Red
81,17,59,Red
81,17,59,Red
81,17,59,Red
78,17,59,Green
76,17,58,Green
73,17,57,Green
72,17,59,Green
68,17,59,Green
65,17,58,Green
64,17,58,Green
64,17,57,Green
64,17,57,Green
64,17,56,Green
64,17,56,Green
60,17,55,Green
61,17,55,Green
59,17,56,Green
59,17,54,Green
17,38,68,Yellow
17,38,68,Yellow
16,38,67,Yellow
15,38,66,Yellow
18,38,67,Yellow
18,38,67,Yellow
19,38,68,Yellow
18,38,67,Yellow
20,38,68,Yellow
21,38,68,Yellow
22,38,70,Yellow
24,38,71,Yellow
24,38,71,Yellow
28,38,72,Yellow
32,38,71,Yellow
40,38,67,Yellow
48,38,68,Yellow
56,38,67,Yellow
64,38,68,Yellow
66,38,68,Yellow
65,38,70,Yellow
62,38,71,Yellow
63,38,71,Yellow
64,38,72,Yellow
65,38,71,Yellow
67,38,67,Yellow
68,38,68,Yellow
68,38,70,Yellow
70,38,71,Yellow
72,38,82,Red
76,38,82,Red
76,38,85,Red
75,38,89,Red
75,38,100,Red
75,38,101,Red
74,38,84,Red
72,38,80,Red
70,38,80,Red
69,38,80,Red
69,38,75,Yellow
68,38,65,Yellow
68,38,63,Yellow
68,38,62,Yellow
68,38,59,Green
68,38,56,Green
68,38,55,Green
66,38,55,Green
66,38,56,Green
65,38,54,Green
67,38,53,Green
67,38,53,Green
67,38,54,Green
65,38,53,Green
65,38,51,Green
64,38,50,Green
64,38,50,Green
60,38,48,Green
58,38,48,Green
58,38,47,Green
58,38,47,Green
58,38,48,Green
57,38,46,Green
57,38,46,Green
58,38,46,Green
58,38,47,Green
60,38,47,Green
61,38,46,Green
64,38,45,Green
66,38,48,Green
68,38,48,Green
72,38,47,Green
75,38,49,Green
75,38,51,Green
75,38,50,Green
78,38,50,Green
82,38,48,Red
82,38,48,Red
83,38,47,Red
82,38,47,Red
82,38,48,Red
73,38,46,Green
68,38,46,Green
61,38,46,Green
64,38,46,Green
66,38,46,Green
68,38,46,Green
72,38,47,Green
75,38,47,Green
73,38,46,Green
72,38,45,Green
75,38,48,Green
75,38,48,Green
75,38,47,Green
78,38,49,Green
76,38,51,Green
73,38,58,Green
72,38,62,Yellow
68,38,64,Yellow
65,38,67,Yellow
64,38,67,Yellow
64,38,67,Yellow
64,38,66,Yellow
64,38,67,Yellow
64,38,67,Yellow
60,38,66,Yellow
61,38,64,Yellow
59,38,62,Yellow
59,38,59,Green
57,38,53,Green
55,38,53,Green
52,38,54,Green
50,38,53,Green
49,38,51,Green
45,38,50,Green
44,38,50,Green
46,38,48,Green
42,38,48,Green
40,38,47,Green
35,38,47,Green
30,38,48,Green
28,21,45,Green
28,21,46,Green
28,21,46,Green
28,21,46,Green
28,21,47,Green
28,21,47,Green
28,21,46,Green
28,21,45,Green
30,21,48,Green
32,21,48,Green
40,21,47,Green
48,21,49,Green
56,21,51,Green
64,21,58,Green
66,21,62,Yellow
65,21,64,Yellow
62,21,68,Yellow
63,21,71,Yellow
61,21,74,Yellow
64,21,73,Yellow
66,21,75,Yellow
68,21,78,Yellow
72,21,77,Yellow
75,21,46,Green
75,21,46,Green
75,21,46,Green
78,21,47,Green
82,21,47,Red
82,21,46,Red
83,21,45,Red
82,21,48,Red
82,21,48,Red
73,21,47,Green
68,21,49,Green
61,21,51,Green
64,21,58,Green
66,21,62,Yellow
65,21,64,Yellow
62,21,68,Yellow
63,21,71,Yellow
64,21,74,Yellow
65,21,73,Yellow
66,21,75,Yellow
68,21,78,Yellow
70,21,77,Yellow
73,21,80,Red
75,21,83,Red
78,21,84,Red
80,21,85,Red
79,21,86,Red
78,21,90,Red
80,21,94,Red
79,21,98,Red
80,21,101,Red
80,21,102,Red
79,21,102,Red
78,21,101,Red
78,21,100,Red
79,21,97,Red
79,21,98,Red
79,21,100,Red
78,21,101,Red
79,21,102,Red
78,21,103,Red
79,21,101,Red
78,21,100,Red
78,21,102,Red
79,21,98,Red
76,21,98,Red
76,21,99,Red
75,21,96,Red
75,21,92,Red
75,21,89,Red
74,21,84,Red
72,21,84,Red
70,21,84,Red
69,21,82,Red
69,21,81,Red
68,21,81,Red
68,21,80,Red
68,21,80,Red
68,21,80,Red
68,21,81,Red
68,21,80,Red
66,21,76,Yellow
70,21,84,Red
69,21,82,Red
69,21,81,Red
68,21,81,Red
68,21,80,Red
68,21,80,Red
68,21,80,Red
68,21,81,Red
68,21,80,Red
66,21,76,Yellow
66,21,76,Yellow
65,21,76,Yellow
67,21,75,Yellow
67,21,75,Yellow
58,21,59,Green
57,21,59,Green
57,21,59,Green
58,21,58,Green
58,21,57,Green
60,21,59,Green
61,21,59,Green
64,21,59,Green
66,21,58,Green
68,21,57,Green
72,21,59,Green
75,21,59,Green
75,21,59,Green
75,21,59,Green
75,21,59,Green
75,21,59,Green
75,21,59,Green
78,21,59,Green
40,21,47,Green
35,21,47,Green
30,21,48,Green
17,30,68,Green
28,30,46,Green
28,30,46,Green
28,30,46,Green
28,30,47,Green
28,30,47,Green
28,30,46,Green
28,30,45,Green
30,30,48,Green
32,30,48,Green
40,30,47,Green
48,30,49,Green
56,30,51,Green
64,30,58,Green
17,30,68,Yellow
16,30,67,Yellow
15,30,66,Yellow
18,30,67,Yellow
18,30,67,Yellow
19,30,68,Yellow
18,30,67,Yellow
20,30,68,Yellow
21,30,68,Yellow
22,30,70,Yellow
24,30,71,Yellow
24,30,71,Yellow
28,30,72,Yellow
32,30,71,Yellow
40,30,67,Yellow
48,30,68,Yellow
56,30,67,Yellow
64,30,68,Yellow
66,30,68,Yellow
65,30,70,Yellow
62,30,71,Yellow
63,30,71,Yellow
64,30,72,Yellow
65,30,71,Yellow
67,30,67,Yellow
68,30,68,Yellow
68,30,70,Yellow
70,30,71,Yellow
72,30,71,Yellow
76,30,81,Red
76,30,82,Red
75,30,105,Red
75,30,105,Red
75,30,105,Red
74,30,82,Red
72,30,82,Red
70,30,82,Red
69,30,82,Red
69,30,82,Red
68,30,80,Red
68,30,80,Red
68,30,80,Red
68,30,59,Green
68,30,56,Green
68,30,55,Green
66,30,55,Green
66,30,56,Green
65,30,54,Green
67,30,53,Green
67,30,53,Green
67,30,54,Green
65,30,53,Green
65,30,51,Green
64,30,50,Green
64,30,50,Green
60,30,48,Green
58,30,48,Green
58,30,47,Green
58,30,47,Green
58,30,48,Green
57,30,46,Green
57,30,46,Green
58,30,46,Green
58,30,47,Green
60,30,47,Green
61,30,46,Green
64,30,45,Green
66,30,48,Green
68,30,48,Green
72,30,47,Green
75,30,49,Green
82,30,51,Red
82,30,50,Red
82,30,50,Red
82,30,48,Red
82,30,48,Red
82,30,47,Red
82,30,47,Red
73,30,48,Green
72,30,46,Green
68,30,46,Green
61,30,46,Green
64,30,46,Green
66,30,46,Green
68,30,46,Green
72,30,47,Green
75,30,47,Green
73,30,46,Green
72,30,45,Green
75,30,48,Green
75,30,48,Green
75,30,47,Green
78,30,49,Green
76,30,51,Green
73,30,58,Green
72,30,62,Yellow
68,30,64,Yellow
65,30,67,Yellow
64,30,67,Yellow
64,30,67,Yellow
64,30,66,Yellow
64,30,67,Yellow
64,30,67,Yellow
60,30,66,Yellow
61,30,64,Yellow
59,30,62,Yellow
17,45,68,Green
17,45,68,Yellow
16,45,67,Yellow
15,45,66,Yellow
18,45,67,Yellow
18,45,67,Yellow
19,45,68,Yellow
18,45,67,Yellow
20,45,68,Yellow
21,45,68,Yellow
22,45,70,Yellow
24,45,71,Yellow
24,45,71,Yellow
28,45,72,Yellow
32,45,71,Yellow
40,45,67,Yellow
48,45,68,Yellow
56,45,67,Yellow
64,45,68,Yellow
66,45,68,Yellow
65,45,70,Yellow
62,45,78,Yellow
63,45,81,Red
64,45,82,Red
65,45,83,Red
67,45,84,Red
68,45,85,Red
68,45,81,Red
70,45,82,Red
72,45,83,Red
76,45,84,Red
76,45,85,Red
75,45,81,Red
75,45,82,Red
75,45,83,Red
74,45,84,Red
72,45,85,Red
70,45,81,Red
69,45,82,Red
69,45,83,Red
68,45,84,Red
68,45,85,Red
68,45,62,Yellow
68,45,62,Yellow
68,45,62,Yellow
68,45,55,Green
75,45,47,Green
78,45,49,Green
76,45,51,Green
73,45,58,Green
72,45,62,Yellow
68,45,64,Yellow
65,45,67,Yellow
64,45,67,Yellow
64,45,67,Yellow
64,45,66,Yellow
64,45,67,Yellow
64,45,67,Yellow
60,45,66,Yellow
61,45,64,Yellow
59,45,62,Yellow
57,45,46,Green
57,45,46,Green
58,45,46,Green
58,45,47,Green
60,45,47,Green
61,45,46,Green
64,45,45,Green
66,45,48,Green
68,45,48,Green
72,45,47,Green
81,45,59,Red
82,45,58,Red
82,45,57,Red
81,45,59,Red
81,45,59,Red
74,45,48,Green
73,45,47,Green
73,45,47,Green
73,45,48,Green
72,45,46,Green
68,45,46,Green
61,45,46,Green
64,45,46,Green
66,45,46,Green
68,45,46,Green
72,45,47,Green
75,45,47,Green
73,45,46,Green
72,45,45,Green
75,45,48,Green
75,45,48,Green
75,45,47,Green
78,45,49,Green
76,45,51,Green
73,45,58,Green
72,45,62,Yellow
68,45,64,Yellow
65,45,67,Yellow
64,45,67,Yellow
64,45,67,Yellow
64,45,66,Yellow
64,45,67,Yellow
64,45,67,Yellow
60,45,66,Yellow
61,45,64,Yellow
59,45,62,Yellow
59,45,59,Green
57,45,53,Green
55,45,53,Green
52,45,54,Green
50,45,53,Green
49,45,51,Green
45,45,50,Green
44,45,50,Green
46,45,48,Green
42,45,48,Green
40,45,47,Green
35,45,47,Green
30,45,48,Green
